USB PD Specification - Table Structure Summary
==================================================

Table No.  Page   Rows   Columns  Expected Cells  Actual Cells   
1405       1018   34     3        102             77             
1406       1019   29     3        87              81             
1407       1020   30     3        90              71             
1408       1021   18     3        54              47             
1409       1022   24     3        72              55             
1410       1023   18     3        54              46             
1411       1024   20     3        60              47             
1412       1025   18     3        54              46             
1413       1026   18     3        54              46             
1414       1027   20     3        60              49             
1415       1028   18     3        54              46             
1416       1029   18     3        54              46             
1417       1030   18     3        54              46             
1418       1031   20     3        60              47             
1419       1038   2      2        4               0              
1420       1038   2      2        4               2              
1421       1039   12     11       132             10             
1422       1040   14     11       154             13             
1423       1041   17     3        51              39             
1424       1042   4      3        12              8              
1425       1042   17     3        51              37             
1426       1043   3      3        9               6              
1427       1044   5      5        25              9              
1428       1045   14     3        42              31             
1429       1046   6      4        24              9              
1430       1046   8      3        24              17             
1431       1047   6      3        18              12             

==================================================
Total Tables: 1431
Total Expected Cells: 65448
Total Actual Cells: 21406
Extraction Efficiency: 32.7%
