USB PD Specification - Table Structure Summary
==================================================

Table No.  Page   Rows   Columns  Expected Cells  Actual Cells   
591        549    2      2        4               2              
592        549    3      2        6               2              
593        549    2      3        6               2              
594        549    2      3        6               3              
595        549    3      2        6               3              
596        549    2      2        4               2              
597        549    2      2        4               2              
598        549    3      2        6               4              
599        550    15     3        45              35             
600        551    16     3        48              36             
601        552    9      3        27              19             
602        553    2      3        6               2              
603        553    2      3        6               2              
604        553    14     10       140             15             
605        553    2      3        6               3              
606        553    2      2        4               2              
607        553    4      4        16              5              
608        553    3      2        6               3              
609        553    3      3        9               3              
610        553    2      3        6               3              
611        553    4      3        12              5              
612        554    16     3        48              37             
613        555    4      3        12              10             
614        556    2      3        6               2              
615        556    2      3        6               2              
616        556    25     15       375             27             
617        556    2      3        6               3              
618        556    4      4        16              5              
619        556    3      3        9               3              
620        556    2      3        6               3              
621        557    16     3        48              37             
622        558    4      3        12              10             
623        560    2      2        4               2              
624        560    59     16       944             85             
625        560    2      2        4               2              
626        560    2      2        4               2              
627        560    2      2        4               2              
628        560    3      2        6               2              
629        561    15     3        45              36             
630        562    14     3        42              31             
631        563    11     3        33              22             
632        564    3      2        6               2              
633        564    28     15       420             34             
634        564    2      3        6               3              
635        564    2      2        4               2              
636        564    2      2        4               2              
637        564    3      2        6               2              
638        564    2      2        4               2              
639        564    2      2        4               2              
640        565    17     3        51              40             
641        566    4      3        12              8              
642        567    3      2        6               2              
643        567    3      2        6               2              
644        567    19     14       266             29             
645        567    2      2        4               2              
646        567    2      2        4               2              
647        567    2      2        4               2              
648        567    3      2        6               2              
649        567    2      2        4               2              
650        567    2      3        6               2              
651        568    16     3        48              37             
652        569    4      3        12              10             
653        570    3      2        6               2              
654        570    3      2        6               2              
655        570    20     15       300             29             
656        570    2      2        4               2              
657        570    3      3        9               3              
658        570    2      2        4               2              
659        570    3      2        6               2              
660        570    2      2        4               2              
661        570    2      3        6               2              
662        571    16     3        48              37             
663        572    4      3        12              10             
664        573    26     15       390             31             
665        573    2      2        4               2              
666        573    2      2        4               2              
667        573    3      2        6               2              
668        573    3      3        9               3              
669        573    2      2        4               2              
670        573    2      2        4               2              
671        574    17     3        51              40             
672        575    4      3        12              8              
673        576    25     16       400             34             
674        576    2      2        4               2              
675        576    2      2        4               2              
676        576    3      2        6               2              
677        576    2      2        4               2              
678        576    2      3        6               2              
679        577    16     3        48              37             
680        578    4      3        12              10             
681        579    24     16       384             31             
682        579    2      2        4               2              
683        579    3      2        6               2              
684        579    3      3        9               3              
685        579    2      2        4               2              
686        579    2      3        6               2              
687        580    16     3        48              37             
688        581    4      3        12              10             
689        582    3      2        6               2              
690        582    3      2        6               2              
691        582    30     15       450             32             
692        582    3      2        6               2              
693        582    2      2        4               2              
694        582    2      2        4               2              
695        582    2      2        4               2              
696        582    2      2        4               2              
697        582    2      2        4               2              
698        582    2      3        6               3              
699        583    17     3        51              40             
700        584    4      3        12              8              
701        585    3      2        6               2              
702        585    3      2        6               2              
703        585    4      3        12              5              
704        585    12     8        96              14             
705        585    3      2        6               2              
706        585    4      3        12              5              
707        585    2      2        4               2              
708        585    2      2        4               2              
709        585    2      2        4               2              
710        585    2      2        4               2              
711        585    2      2        4               2              
712        585    2      3        6               3              
713        586    16     3        48              37             
714        587    4      3        12              10             
715        588    3      2        6               2              
716        588    3      2        6               2              
717        588    13     5        65              14             
718        588    11     8        88              15             
719        588    3      2        6               2              
720        588    2      2        4               2              
721        588    2      2        4               2              
722        588    2      2        4               2              
723        588    2      2        4               2              
724        588    2      3        6               3              
725        589    17     3        51              40             
726        590    3      3        9               6              
727        591    3      2        6               2              
728        591    3      2        6               2              
729        591    30     15       450             30             
730        591    3      2        6               2              
731        591    2      2        4               2              
732        591    2      2        4               2              
733        591    2      2        4               2              
734        591    2      2        4               2              
735        591    2      3        6               2              
736        592    17     3        51              40             
737        593    4      3        12              8              
738        594    3      2        6               2              
739        594    3      2        6               2              
740        594    10     4        40              12             
741        594    10     8        80              11             
742        594    3      2        6               2              
743        594    2      2        4               2              
744        594    2      2        4               2              
745        594    2      2        4               2              
746        594    2      2        4               2              
747        594    2      3        6               2              
748        595    16     3        48              37             
749        596    4      3        12              10             
750        597    3      2        6               2              
751        597    3      2        6               2              
752        597    13     5        65              14             
753        597    9      8        72              12             
754        597    3      2        6               2              
755        597    2      2        4               2              
756        597    2      2        4               2              
757        597    2      2        4               2              
758        597    2      3        6               2              
759        598    16     3        48              37             
760        599    4      3        12              10             
761        600    3      2        6               2              
762        600    3      2        6               2              
763        600    44     21       924             51             
764        600    2      2        4               2              
765        600    2      2        4               2              
766        600    3      3        9               4              
767        600    2      2        4               2              
768        600    3      3        9               3              
769        600    3      2        6               2              
770        601    17     3        51              41             
771        602    13     3        39              26             
772        603    2      3        6               2              
773        603    2      3        6               2              
774        603    8      6        48              8              
775        603    2      2        4               2              
776        603    2      2        4               2              
777        603    3      3        9               4              
778        603    7      6        42              6              
779        603    4      5        20              4              
780        604    17     3        51              41             
781        605    3      3        9               6              
782        606    2      3        6               2              
783        606    2      3        6               2              
784        606    8      6        48              8              
785        606    2      2        4               2              
786        606    3      3        9               3              
787        606    3      3        9               4              
788        606    7      6        42              6              
789        606    4      5        20              4              
790        607    17     3        51              41             
791        608    3      3        9               6              
792        609    3      3        9               3              
793        609    3      3        9               3              
794        609    42     17       714             47             
795        609    2      2        4               2              
796        609    3      2        6               2              
797        609    3      2        6               4              
